id_orig,area_km2,ppl_per_km2,dwellings_per_km2,U7B001,U7B003,U7B004,U7C002,U7G001
482150213061004,0.029002493309331735,2827.3431227244173,930.9544428482836,82,36,1,82,27
482150213062010,0.033570220598556404,3574.596706855131,893.6491767137827,120,45,0,116,30
482150213062011,0.014074965950338917,3978.6952378845044,923.6256802231886,56,19,0,56,13
482150213062012,0.020133191598144206,3675.5225637857147,894.0460290289576,74,27,0,74,18
482150213062013,0.03524717104564658,3007.333549201027,794.3899941285732,106,44,0,106,28
482150213062014,0.014283263225446383,3920.672686353148,840.1441470756746,56,12,0,56,12
482150213062015,0.03224524325579695,2729.0846994674052,868.3451316487199,88,17,0,88,28
482150213062016,0.01993224644290452,3511.8971762923693,1003.3991932263912,70,12,0,70,20
482150213062017,0.034286001623065755,2974.9750677075144,787.4934002755185,102,48,0,102,27
482150213073001,0.6389232952887618,1170.7195613550778,314.59175378659177,748,200,0,748,201
482150213073002,0.029070486301030075,2889.5285455552757,756.7812857406674,84,49,0,80,22
482150213073003,0.029542848872011238,2470.9871521280356,812.3793376859295,73,13,0,73,24
482150213073004,0.01948686768250392,2668.463749394042,923.6989901748608,52,8,1,50,18
482150213073005,0.02784621722083487,4273.4709370493165,969.6110529439625,119,28,3,112,27
482150213073006,0.029612603740484463,3782.1733266528245,911.7739269609488,112,29,3,103,27
482150213073007,0.029506635675974623,3253.5054505779085,982.8297715287431,96,26,0,96,29
482150213073008,0.022016825672513566,4224.042165901502,953.8159729455004,93,31,0,93,21
482150213073009,0.03410692790145369,3195.8316596246195,908.906251819846,109,45,1,103,31
482150213073010,0.03759114014980241,7847.5938432410285,1782.3348728716912,295,36,0,283,67
482150213073011,0.027486302099462297,3674.55758997773,873.1621995986685,101,42,0,101,24
482150213073012,0.049891625649674566,3607.819902761058,1002.172195211405,180,72,0,180,50
482150213121009,0.026922230020421798,3417.250351483276,742.8805111920166,92,38,0,87,20
482150213121010,0.026694872208991065,4307.943454446169,973.9698244834816,115,43,1,114,26
482150213121011,0.026051830944170837,2379.8711166545727,729.3153422005948,62,20,0,59,19
482150213121012,0.01802321698217778,2940.6514970334615,665.8078861207838,53,11,1,50,12
482150213122001,0.01767769636216976,4016.360420803464,961.66376272759,71,14,0,69,17
482150213122002,0.025731140781032343,2254.0780641468714,582.9512234862599,58,22,0,56,15
482150213122003,0.027316908919025894,3441.0921191207744,805.3619853261387,94,25,0,94,22
482150213122004,0.027434903303412996,4045.9409961248602,984.1478098682093,111,13,0,111,27
482150213122005,0.027315611805020963,3331.428219494356,805.4002288887455,91,23,0,91,22
482150213122006,0.02735296284932738,3473.1155276780587,950.5368812592582,95,22,0,91,26
482150213122007,0.01955282219417059,2608.3191210732207,664.8656583127818,51,15,1,48,13
482150213122008,0.027826934303039005,3306.1493227427713,934.3465477316528,92,10,0,89,26
482150213122009,0.15205252334508731,2571.479850502809,808.9310015648223,391,116,0,380,123
482150213122010,0.02748469287417442,4839.0571657059145,1018.7488769907188,133,36,1,128,28
482150213123000,0.02181938385683254,2429.0328428959524,504.1388919218015,53,20,0,49,11
482150213123001,0.019268561430356414,3840.4527638175223,830.3681651497345,74,4,0,74,16
482150213123002,0.028013605454033814,3819.5726064455066,963.8173866731653,107,23,0,105,27
482150213123003,0.02966121758239519,2798.266786231424,809.1373839705323,83,25,0,81,24
482150213123004,0.029205141215456316,3492.535757574706,924.4947593580105,102,19,1,94,27
482150213131000,1.1376501117631874,463.2355717727913,108.11760024298543,527,136,0,524,123
482150213131001,0.0188821458571518,2542.083953970704,794.401235615845,48,10,2,46,15
482150213131002,0.034438598806830686,5110.544740429204,1103.4130689563053,176,63,0,174,38
482150213131003,0.022252569031508424,3640.0291528276316,853.8339988114197,81,30,0,74,19
482150213131004,0.03530764805989095,4248.371337155083,1047.9315964982538,150,44,0,150,37
482150213131005,0.034566335569459004,4310.552378356489,1099.3355058895743,149,25,0,145,38
482150213131006,0.028529721272004118,2628.8374598877213,771.1256549003983,75,14,0,75,22
482150213132009,2.4492672176707786,563.0255408845961,186.99470465927848,1379,394,4,1343,458
482150213132010,0.013026548809189594,4298.912998391004,767.6630354269649,56,18,0,52,10
482150213132011,0.010154878383479305,3446.6193171688346,886.2735387005574,35,18,0,32,9
482150213132012,0.009755346529132613,7483.076052910929,2870.220951801452,73,24,0,71,28
482150213132013,0.015540876487000496,3152.975319055339,965.1965262414302,49,21,0,47,15
482150213132014,0.014716495301232282,4077.0576670503824,951.3134556450892,60,30,1,59,14
482150213132015,0.03838077542290183,3308.948258617491,807.696031631041,127,17,3,120,31
482150213132016,0.015568872942994463,5909.2267203193605,1027.6916035338018,92,37,0,88,16
482150213132017,0.02094416346719408,3819.6798895934953,1145.9039668780485,80,8,0,78,24
482150213132042,0.04903039573662507,836.2159714198173,224.35062647848756,41,13,0,41,11
482150213132043,0.021200829431755164,4150.781000491956,990.5272842083076,88,25,3,83,21
482150213141000,0.03751362426178659,1412.8200365323985,479.82567278458816,53,12,0,49,18
482150213141001,0.017682402286501205,2205.582667337724,565.5340172660831,39,7,0,39,10
482150213141002,0.02678487051948468,5002.824258662052,1082.7007723970114,134,60,0,134,29
482150213141003,0.10075076923608535,2183.6061567379456,516.1250915926054,220,40,0,216,52
482150213141004,0.027234755290546968,3194.447648670345,917.9447266294095,87,21,0,87,25
482150213141005,0.05351673725531995,934.2871513533767,168.1716872436078,50,23,0,50,9
482150213141006,0.06757593713396812,488.3395095887176,251.56883827297574,33,18,0,33,17
482150213141007,0.04718288651086074,720.6002539114207,317.9118767256268,34,4,0,34,15
482150213141009,0.03260389046824758,4017.925410698421,950.8067765774889,131,15,0,130,31
482150213143016,0.023399124233677192,1794.9389720984298,555.5763485066568,42,9,0,41,13
482150213143017,0.012911564513357385,4956.79667121596,851.9494278652431,64,24,0,63,11
482150213143018,0.02793264884413135,2541.828395731152,716.0079987975075,71,42,0,70,20
482150213143019,0.028348591392918766,3880.2633427309215,987.7033963315073,110,27,0,110,28
482150213143020,0.015453278068487812,2717.8699440894698,905.9566480298233,42,7,0,42,14
482150213143021,0.020549269723164062,2919.811789338932,681.2894175124175,60,14,0,60,14
482150213151000,0.06521420297071953,2346.114696344527,613.3633193057586,153,54,0,150,40
482150213151001,0.058288472574273775,3619.926731329842,960.7388481254557,211,83,0,210,56
482150213151002,0.04313690837443272,4103.214779873007,1020.008193866736,177,50,0,173,44
482150213151003,0.20757997568329395,3425.185871901137,905.6750266067704,711,238,0,702,188
482150213151004,0.02032204670848955,4871.556562196202,1328.6063351444186,99,32,0,99,27
482150213151005,0.020254669118617074,6171.416539463796,1579.8826341027318,125,33,0,117,32
482150213151006,0.020452655463773898,4155.939562496102,1222.3351654400299,85,37,0,81,25
482150213151007,0.02010110312012864,4377.869188277506,945.221756559916,88,14,2,86,19
482150213061000,0.027668766862727935,1987.800911868228,433.7020171348861,55,20,0,55,12
482150213061001,0.38166160229825646,1695.2190005595323,440.1805132828461,647,125,0,640,168
482150213061002,0.007032938946839951,853.1284069650466,426.5642034825233,6,0,0,6,3
482150213061003,0.025882026987232912,3515.9533696834674,1081.8318060564516,91,37,0,84,28
482150213062041,0.03260435306615361,3619.1486382379753,920.122535145248,118,43,0,113,30
482150213062042,0.03315552568895047,2050.9401852935157,754.0221269461455,68,28,2,66,25
482150213071001,1.9137324888790515,823.521578464253,247.16098135380182,1576,450,0,1549,473
482150213071002,0.02880595323999328,3610.3648136042125,867.8761571163972,104,34,0,98,25
482150213071003,0.020586129030809044,2428.8199070923133,631.4931758440015,50,11,2,47,13
482150213071004,0.029037035179356425,3960.459437048795,826.5306651232268,115,29,0,114,24
482150213071005,0.029495357823576904,3898.9186260380125,881.494645886855,115,58,0,115,26
482150213071006,0.029161153068554033,3360.63528659566,1028.765904059896,98,19,0,97,30
482150213072001,0.35792122193864595,2506.1380689903926,673.33252466743,897,242,0,885,241
482150213072002,0.026305350229934927,4789.900111522358,1482.5881297569204,126,49,0,123,39
482150213072003,0.019819118307942658,3077.8362110868375,908.2139639272634,61,13,0,60,18
482150213072004,0.025240016641963865,4477.017650302458,1148.9691314935512,113,33,0,112,29
482150213072005,0.02613215357644391,2946.561590293479,574.0055046026258,77,35,0,76,15
482150213072006,0.026096598198824875,4483.342967102451,1034.6176077928733,117,20,0,115,27
482150213072008,0.10545866355616089,1668.9003450747607,483.6018045387091,176,41,0,170,51
482150213072009,0.046139699834319155,1538.8049825844232,390.11957304957207,71,24,0,69,18
482150213072010,0.04671339748030549,1027.5424736605157,256.88561841512893,48,11,0,48,12
